product_id,product_name,product_category,product_image,product_deeplink
pulsego-s25-034,Matkalla kohti vastuullista yritystoimintaa,Liiketalous,https://www.xamk.fi/app/uploads/sites/2/2025/08/Matkalla-kohti-vastuullista-yritystoimintaa-PulseGO-syksy-2025.jpg,https://koulutuskalenteri.xamk.fi/avoimen-amkn-kurssit/pulsego-matkalla-kohti-vastuullista-yritystoimintaa-nonstop-aloitus-5-op/?utm_source=adform&utm_medium=display&utm_campaign=2025_pulse_elo-lokakuu&utm_content=liiketalous
pulsego-s25-035,Vastuullinen rekrytointi,Liiketalous,https://www.xamk.fi/app/uploads/sites/2/2025/08/Vastuullinen-rekrytointi-PulseGO-syksy-2025.jpg,https://koulutuskalenteri.xamk.fi/avoimen-amkn-kurssit/pulsego-vastuullinen-rekrytointi-nonstop-aloitus-5-op/?utm_source=adform&utm_medium=display&utm_campaign=2025_pulse_elo-lokakuu&utm_content=liiketalous
pulsego-s25-036,Tuotteiden ja palvelujen hinnoittelu ja kannattavuuslaskenta,Liiketalous,https://www.xamk.fi/app/uploads/sites/2/2025/08/Tuotteiden-ja-palveluiden-hinnoittelu-ja-kannattavuuslaskenta-PulseGO-syksy-2025.jpg,https://koulutuskalenteri.xamk.fi/avoimen-amkn-kurssit/pulsego-tuotteiden-ja-palvelujen-hinnoittelu-ja-kannattavuuslaskenta-nonstop-aloitus-5-op/?utm_source=adform&utm_medium=display&utm_campaign=2025_pulse_elo-lokakuu&utm_content=liiketalous
pulsego-s25-037,Vakuuta puheellasi – retoriikan taitoja työelämään,Liiketalous,https://www.xamk.fi/app/uploads/sites/2/2025/08/Vakuuta-puheellasi-retoriikan-taitoja-tyoelamaan-PulseGO-syksy-2025.jpg,https://koulutuskalenteri.xamk.fi/avoimen-amkn-kurssit/pulsego-vakuuta-puheellasi-retoriikan-taitoja-tyoelamaan-nonstop-aloitus-2-op/?utm_source=adform&utm_medium=display&utm_campaign=2025_pulse_elo-lokakuu&utm_content=liiketalous
pulsego-s25-038,Sosiaalisen vastuun ulottuvuudet,Liiketalous,https://www.xamk.fi/app/uploads/sites/2/2025/08/Sosiaalisen-vastuun-ulottuvuudet-PulseGO-syksy-2025.jpg,https://koulutuskalenteri.xamk.fi/avoimen-amkn-kurssit/pulsego-sosiaalisen-vastuun-ulottuvuudet-nonstop-aloitus-3-op/?utm_source=adform&utm_medium=display&utm_campaign=2025_pulse_elo-lokakuu&utm_content=liiketalous
pulsego-s25-039,Keinoja vaikuttavaan vastuullisuusviestintään,Liiketalous,https://www.xamk.fi/app/uploads/sites/2/2025/08/Keinoja-vaikuttavaan-vastuullisuusviestintaan-PulseGO-syksy-2025.jpg,https://koulutuskalenteri.xamk.fi/avoimen-amkn-kurssit/pulsego-keinoja-vaikuttavaan-vastuullisuusviestintaan-nonstop-aloitus-2-op/?utm_source=adform&utm_medium=display&utm_campaign=2025_pulse_elo-lokakuu&utm_content=liiketalous
pulsego-s25-040,Logistiikan turvallisuus,Tekniikka,https://www.xamk.fi/app/uploads/sites/2/2025/08/Logistiikan-turvallisuus-PulseGO-syksy-2025.jpg,https://koulutuskalenteri.xamk.fi/avoimen-amkn-kurssit/pulsego-logistiikan-turvallisuus-nonstop-aloitus-5-op/?utm_source=adform&utm_medium=display&utm_campaign=2025_pulse_elo-lokakuu&utm_content=tekniikka
pulsego-s25-041,Logistiikan perusteet,Tekniikka,https://www.xamk.fi/app/uploads/sites/2/2025/08/Logistiikan-perusteet-PulseGO-syksy-2025.jpg,https://koulutuskalenteri.xamk.fi/avoimen-amkn-kurssit/pulsego-logistiikan-perusteet-nonstop-aloitus-5-op/?utm_source=adform&utm_medium=display&utm_campaign=2025_pulse_elo-lokakuu&utm_content=tekniikka
pulsego-s25-042,Tekninen piirtäminen ja CAD,Tekniikka,https://www.xamk.fi/app/uploads/sites/2/2025/08/Tekninen-piirtaminen-PulseGO-syksy-2025.jpg,https://koulutuskalenteri.xamk.fi/avoimen-amkn-kurssit/pulsego-tekninen-piirtaminen-ja-cad-nonstop-aloitus-5-op/?utm_source=adform&utm_medium=display&utm_campaign=2025_pulse_elo-lokakuu&utm_content=tekniikka
pulsego-s25-043,Tekniikan alan matematiikan tehovalmennus verkossa,Tekniikka,https://www.xamk.fi/app/uploads/sites/2/2025/08/Tekniikan-alan-matematiikka-PulseGO-syksy-2025.jpg,https://koulutuskalenteri.xamk.fi/avoimen-amkn-kurssit/pulsego-tekniikan-alan-matematiikan-tehovalmennus-verkossa-nonstop-aloitus-3-op/?utm_source=adform&utm_medium=display&utm_campaign=2025_pulse_elo-lokakuu&utm_content=tekniikka
