product_id,product_name	,product_deeplink,product_image,product_category
11,Suunnittele näyttävästi Canvalla,https://koulutuskalenteri.xamk.fi/avoimen-amkn-kurssit/canvan-jatkokurssi-nonstop-aloitus-3-op/?utm_source=adform&utm_medium=display&utm_campaign=2025_pulse_taktinen_touko-kesakuu&utm_content=Digitaalisuus,https://www.xamk.fi/app/uploads/sites/2/2025/05/Xamk_Pulse_canvan_jatkokurssi.jpg,Digitaalisuus
12,Suojaa itsesi verkossa,https://koulutuskalenteri.xamk.fi/avoimen-amkn-kurssit/kyberturvallisuuden-perusteet-5-op/?utm_source=adform&utm_medium=display&utm_campaign=2025_pulse_taktinen_touko-kesakuu&utm_content=Digitaalisuus,https://www.xamk.fi/app/uploads/sites/2/2025/05/Xamk_Pulse_kyberturvallisuuden_perusteet.jpg,Digitaalisuus
13,Tutustu älylaitteiden maailmaan,https://koulutuskalenteri.xamk.fi/avoimen-amkn-kurssit/alykkaat-laitteet-1-op/?utm_source=adform&utm_medium=display&utm_campaign=2025_pulse_taktinen_touko-kesakuu&utm_content=Digitaalisuus,https://www.xamk.fi/app/uploads/sites/2/2025/05/Xamk_Pulse_alykkaat_laitteet.jpg,Digitaalisuus
14,Kehitä taitojasi tietoverkoissa,https://koulutuskalenteri.xamk.fi/avoimen-amkn-kurssit/johdatus-tietoverkkoihin-1-op/?utm_source=adform&utm_medium=display&utm_campaign=2025_pulse_taktinen_touko-kesakuu&utm_content=Digitaalisuus,https://www.xamk.fi/app/uploads/sites/2/2025/05/Xamk_Pulse_johdatus_tietoverkkoihin.jpg,Digitaalisuus
15,Ymmärrä websovellusten uhat ja suojaus,https://koulutuskalenteri.xamk.fi/avoimen-amkn-kurssit/websovellusten-turvallisuus-1-op/?utm_source=adform&utm_medium=display&utm_campaign=2025_pulse_taktinen_touko-kesakuu&utm_content=Digitaalisuus,https://www.xamk.fi/app/uploads/sites/2/2025/05/Xamk_Pulse_websovellusten_turvallisuus.jpg,Digitaalisuus
16,Ymmärrä internetin rakenne,https://koulutuskalenteri.xamk.fi/avoimen-amkn-kurssit/internet-yksinkertaisesti-matkaopas-digitaaliseen-maailmaan-1-op/?utm_source=adform&utm_medium=display&utm_campaign=2025_pulse_taktinen_touko-kesakuu&utm_content=Digitaalisuus,https://www.xamk.fi/app/uploads/sites/2/2025/05/Xamk_Pulse_Internet_yksinkertaisesti_matkaopas_digitaaliseen_maailmaan.jpg,Digitaalisuus
17,Opi lisää digitoinnista,https://koulutuskalenteri.xamk.fi/avoimen-amkn-kurssit/digitoinnin-kehittaja-master-school-5-op/?utm_source=adform&utm_medium=display&utm_campaign=2025_pulse_taktinen_touko-kesakuu&utm_content=Digitaalisuus,https://www.xamk.fi/app/uploads/sites/2/2025/05/Xamk_Pulse_digitoinnin_kehittaja.jpg,Digitaalisuus
18,Climate change,https://koulutuskalenteri.xamk.fi/en/open-amk-courses/climate-change-nonstop-start-5-ects-cr-3/?utm_source=adform&utm_medium=display&utm_campaign=2025_pulse_taktinen_touko-kesakuu&utm_content=Englanninkieliset_opintojaksot,https://www.xamk.fi/app/uploads/sites/2/2024/09/Xamk_Pulse_climate_change.jpg,Englanninkieliset opintojaksot
19,Fuel your performance,https://koulutuskalenteri.xamk.fi/en/open-amk-courses/nutrition-for-sports-and-physical-activity-nonstop-start-5-ects-cr-7/?utm_source=adform&utm_medium=display&utm_campaign=2025_pulse_taktinen_touko-kesakuu&utm_content=Englanninkieliset_opintojaksot,https://www.xamk.fi/app/uploads/sites/2/2024/09/Xamk_Pulse_nutrition_for_sports_and_physical_activity.jpg,Englanninkieliset opintojaksot
20,Empower the Next Generation!,https://koulutuskalenteri.xamk.fi/en/open-amk-courses/empowering-youth-nonstop-start-5-ects-cr-9/?utm_source=adform&utm_medium=display&utm_campaign=2025_pulse_taktinen_touko-kesakuu&utm_content=Englanninkieliset_opintojaksot,https://www.xamk.fi/app/uploads/sites/2/2024/09/Xamk_Pulse_empowering_youth.jpg,Englanninkieliset opintojaksot
